name,year,nominations,rating,duration,genre1
 Birdman,2014,9,7.8,119,Comedy
 12 Years a Slave,2013,9,8.1,134,Biography
 Argo,2012,7,7.8,120,Biography
 The Artist,2011,10,8,100,Comedy
 The King's Speech,2010,12,8,118,Biography
 The Hurt Locker,2009,9,7.6,131,Drama
 Slumdog Millionaire,2008,10,8,120,Drama
 No Country for Old Men,2007,8,8.1,122,Crime
 The Departed,2006,5,8.5,151,Crime
 Crash,2005,6,7.9,112,Drama
 Million Dollar Baby,2004,7,8.1,132,Drama
 The Lord of the Rings: The Return of the King,2003,11,8.9,201,Adventure
 Chicago,2002,13,7.2,113,Comedy
 A Beautiful Mind,2001,8,8.2,135,Biography
 Gladiator,2000,12,8.5,155,Action
 American Beauty,1999,8,8.4,122,Drama
 Shakespeare in Love,1998,13,7.2,123,Comedy
 Titanic,1997,14,7.7,194,Drama
 The English Patient,1996,12,7.4,162,Drama
 Braveheart,1995,10,8.4,178,Biography
 Forrest Gump,1994,13,8.8,142,Drama
 Schindler's List,1993,12,8.9,195,Biography
 Unforgiven,1992,10,8.3,131,Western
 The Silence of the Lambs,1991,7,8.6,118,Crime
 Dances with Wolves,1990,12,8,181,Adventure
 Driving Miss Daisy,1989,9,7.4,99,Comedy
 Rain Man,1988,8,8,133,Drama
 The Last Emperor,1987,9,7.8,163,Biography
 Platoon,1986,8,8.1,120,Drama
 Out of Africa,1985,11,7.2,161,Biography
 Amadeus,1984,11,8.3,160,Biography
 Terms of Endearment,1983,11,7.4,132,Comedy
 Gandhi,1982,11,8.1,191,Biography
 Chariots of Fire,1981,7,7.3,125,Biography
 Ordinary People,1980,6,7.8,124,Drama
 Kramer vs. Kramer,1979,9,7.8,105,Drama
 The Deer Hunter,1978,9,8.2,183,Drama
 Annie Hall,1977,5,8.1,93,Comedy
 Rocky,1976,10,8.1,120,Drama
 One Flew Over the Cuckoo's Nest,1975,9,8.7,133,Drama
 The Godfather: Part II,1974,11,9,202,Crime
 The Sting,1973,10,8.3,129,Comedy
 The Godfather,1972,11,9.2,175,Crime
 The French Connection,1971,8,7.8,104,Action
 Patton,1970,10,8,172,Biography
 Midnight Cowboy,1969,7,7.9,113,Drama
 Oliver!,1968,11,7.5,153,Drama
 In the Heat of the Night,1967,7,8,109,Crime
 A Man for All Seasons,1966,8,7.9,120,Biography
 The Sound of Music,1965,10,8,174,Biography
 My Fair Lady,1964,12,7.9,170,Drama
 Tom Jones,1963,10,6.8,128,Adventure
 Lawrence of Arabia,1962,10,8.4,216,Adventure
 West Side Story,1961,11,7.6,152,Crime
 The Apartment,1960,10,8.3,125,Comedy
 Ben-Hur,1959,12,8.1,212,Adventure
 Gigi,1958,9,6.9,115,Comedy
 The Bridge on the River Kwai,1957,8,8.2,161,Adventure
 Around the World in 80 Days,1956,8,6.8,175,Adventure
 Marty,1955,8,7.7,90,Drama
 On the Waterfront,1954,12,8.3,108,Crime
 From Here to Eternity,1953,13,7.8,118,Drama
 The Greatest Show on Earth,1952,5,6.7,152,Drama
 An American in Paris,1951,8,7.3,113,Musical
 All About Eve,1950,14,8.3,138,Comedy
 All the King's Men,1949,7,7.6,110,Drama
 Hamlet,1948,7,7.9,155,Drama
 Gentleman's Agreement,1947,8,7.4,118,Drama
 The Best Years of Our Lives,1946,8,8.2,172,Drama
 The Lost Weekend,1945,7,8,101,Drama
 Going My Way,1944,10,7.3,126,Comedy
 Casablanca,1943,8,8.6,102,Drama
 Mrs. Miniver,1942,12,7.6,134,Drama
 How Green Was My Valley,1941,10,7.8,118,Drama
 Rebecca,1940,11,8.2,130,Drama
 Gone With the Wind,1939,13,8.2,238,Drama
 You Can't Take it With You,1938,7,8,126,Comedy
 The Life of Emile Zola,1937,10,7.3,116,Biography
 The Great Ziegfeld,1936,7,6.8,176,Biography
 Mutiny on the Bounty,1935,8,7.8,132,Adventure
 It Happened One Night,1934,5,8.2,105,Comedy
 Cavalcade,1933,4,6.1,112,Drama
 Grand Hotel,1931,-,7.6,112,Drama
 Cimarron,1930,7,6,123,Drama
 All Quiet on the Western Front,1929,4,8.1,136,Drama
 The Broadway Melody,1928,3,6.4,100,Musical
 Wings,1927,-,7.8,144,Drama
